Run #,Non-Containerized Test Run Time (s),Non-Containerized Workflow Run Time (s),Containerized Test Run Time (s),Containerized Workflow Run Time (s)
1,0.3,10,0.26,20
2,0.36,10,0.25,14
3,0.27,8,0.31,13
4,0.29,8,0.27,13
5,0.3,10,0.24,16
6,0.33,12,0.26,12
7,0.27,7,0.25,18
8,0.4,13,0.25,17
9,0.32,8,0.25,14
10,0.34,12,0.24,17
11,0.29,12,0.3,15
12,0.26,9,0.3,15
13,0.29,9,0.25,15
14,0.32,7,0.28,13
15,0.27,8,0.27,13
16,0.26,8,0.27,13
17,0.34,8,0.3,16
18,0.28,8,0.29,17
19,0.27,11,0.25,12
20,0.26,8,0.24,13
21,0.26,7,0.24,14
22,0.27,7,0.27,18
23,0.28,8,0.25,14
24,0.31,9,0.26,15
25,0.33,6,0.25,17
